,playlist_name,collaborative,num_tracks,num_artists,playlist_id
490,~Rando~,False,115,82,490
491,⚡️,False,73,17,491
492,⚡️⚡️⚡️,False,202,76,492
493,✔️,False,20,7,493
494,🇲🇽🇲🇽🇲🇽,False,23,15,494
495,🎵🎵,False,97,60,495
496,🔥🔥🔥🔥,False,14,12,496
497,😍😍,False,12,11,497
498,🤘🏼,False,46,14,498
499,🤤🤤,False,17,6,499
