,artist_uri,artist_name
1723,spotify:artist:5QP6YlOw9QlFgb6pRG6euk,Gazebos
1733,spotify:artist:3h0MN1neFknEvlYKxFmSQW,Tacocat
1743,spotify:artist:5kxbczSLck59eyR8GDsHd6,Army Navy
1753,spotify:artist:4Xo1N4V7w6qX23OHAPcLCe,The Lonely Forest
1763,spotify:artist:78inRkIIF0n9R9I2HPoWP7,Rooney
1773,spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party
1783,spotify:artist:5IWCU0V9evBlW4gIeGY4zF,Waxahatchee
1793,spotify:artist:2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear
1813,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend
1823,spotify:artist:1ZFl1BJzJDj3SdxLD4P48Z,The Babies
1833,spotify:artist:0vRO9bFgOrDoFtLcDHV8b6,Kopecky
1843,spotify:artist:1kDGbuxWknIKx4FlgWxiSp,Nothing But Thieves
1853,spotify:artist:4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog
1863,spotify:artist:43O3c6wewpzPKwVaGEEtBM,My Morning Jacket
1873,spotify:artist:2i9uaNzfUtuApAjEf1omV8,Wet
1893,spotify:artist:57vWImR43h4CaDao012Ofp,Steve Lacy
1903,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON
1923,spotify:artist:0oiw7PY6VPt7w2KsV9Xhcu,A.Dd+
1933,spotify:artist:7sV1sLUCpxr8MVlu0GyVU5,Antwon
1953,spotify:artist:2y246nnP9pQT0E6v3ZMMOO,CORPSE
1963,spotify:artist:1EotkJocwHvhFOAsoOj1jJ,bo en
1993,spotify:artist:1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
2013,spotify:artist:6mOWFF6HJ6krnIpW0CHLQm,dandelion hands
2023,spotify:artist:4AGNJdJiVltImYk1UTLE0K,Sports
2033,spotify:artist:1GLtl8uqKmnyCWxHmw9tL4,The Kooks
2043,spotify:artist:5JLqvjW3Nyom2OsRUyFsS9,Xiu Xiu
2053,spotify:artist:5juac7bFYyLKmV0VGSyaKM,Moose
2103,spotify:artist:2JSc53B5cQ31m0xTB7JFpG,Rogue Wave
2153,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,Weezer
2163,spotify:artist:3agnCimLdkVM3mc4PFJUxC,Meltycanon
2193,spotify:artist:7hAolICGSgXJuM6DUpK5rp,Chairlift
2203,spotify:artist:247AfC9pLuqwgpH8Mo96oA,Connan Mockasin
2213,spotify:artist:7AQzXO3NPNQsI7oNu5rC3r,Marcy Playground
2223,spotify:artist:5gSzpQeKekCGJTR9hcWwKF,Concorde
2233,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
2253,spotify:artist:0botW5W7KGHTm8BkLemEH8,"Parks, Squares and Alleys"
2263,spotify:artist:3u1ulLq00Y3bfmq9FfjsPu,Ween
2273,spotify:artist:2NmK5FyrQ18HOPXq1UBzqa,SWV
2283,spotify:artist:2awB7Ol181cocZcLLNBBAh,Fazerdaze
2293,spotify:artist:5W5qK44etRPdYVC1YkfUfW,Mons Vi
2303,spotify:artist:5LXEAEGrpKQtpyCu2sZuWu,Oingo Boingo
2353,spotify:artist:0pg0Zm8FsGAYy5kdHuBnSo,salvia palth
2363,spotify:artist:1WXAzKcld8b4tZIteRi14G,Blonde Tongues
2373,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens
2383,spotify:artist:4jLcgJjDGmW0HmvbSf6lEI,Phantogram
2403,spotify:artist:4V4Z3qMCwYofWHtip6ePF6,Bobby Caldwell
2413,spotify:artist:16bN8mhtDFdegWbg0z3s10,Hüsker Dü
2463,spotify:artist:4K3NWDwBIxgktui14SccR2,The Vapors
2473,spotify:artist:3X03NfrYVLMXS2kz13t5WU,Lets Kill Janice
2477,spotify:artist:7COP1HCvVq1cIpZcLQYoNe,Bedroom
2497,spotify:artist:3K6DKtqcjx8Vs5XEaTgZv7,The Truth
2507,spotify:artist:31evTYWkEAH8qiDQxQ1Ho0,Tilt
2517,spotify:artist:04QGT0sr98LHIUjqPJ4RG4,Floh de Cologne
2527,spotify:artist:70KRtY1QWEurUeM3wuzpG1,Jehst
2537,spotify:artist:2yN6bq26wynQcRuPkBYTDb,Black Moon
2547,spotify:artist:17Q9sCBpIyS6yM2YyaI6R4,Lords Of The Underground
2557,spotify:artist:62JorFOkIjXHHU7GMT9r77,Rod McKuen
2567,spotify:artist:6ki33aLoMVqki3QYXELrer,John SaFranko
2577,spotify:artist:0d7aBBLFcc4dlETnae6zcH,Lala Lala
2587,spotify:artist:339XMxg3AyRbEfeIAlxB2c,Varsity
2607,spotify:artist:2D4FOOOtWycb3Aw9nY5n3c,Declan McKenna
2627,spotify:artist:0oBsnAC3fzYkTHF3bkfNx6,Phony Ppl
2637,spotify:artist:0bzfPKdbXL5ezYW2z3UGQj,Michael Kiwanuka
2647,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,Etta James
2657,spotify:artist:4bcaz6nXnH8LTRiXALe8XV,Jawbreaker
2667,spotify:artist:2KWOkrj19TKU1ik6tugH4y,Naked Raygun
2697,spotify:artist:04GCjO1r1hPelibCUq9S8H,Fog Lake
2707,spotify:artist:6ft7JnxMyZhp7N52qzHymY,Vansire
2717,spotify:artist:2OaU1tu6tdscWuRIry08Gs,Good Good Blood
2727,spotify:artist:62bdZHVpBgv8SRJ9bRfSWE,Ourselves the Elves
2737,spotify:artist:2D0wm8aDnVrcljPwg2GM75,Odina
2747,spotify:artist:3WPt7OfKDirWGEDH9kHahw,Boyscott
2757,spotify:artist:7GbMKpjxObo2JZGvKQovjr,Suburban Lawns
2767,spotify:artist:5J81VungUjSVHxlPpTI9KG,Mild High Club
2777,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins
2787,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,Oasis
2797,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,Aerosmith
2807,spotify:artist:73JEBdDEFeVaOLg3y0HhBD,Natalie Merchant
2817,spotify:artist:0TImkz4nPqjegtVSMZnMRq,TLC
2837,spotify:artist:0dlOr0VIysztGWvU1dpjmP,Natalie Imbruglia
2847,spotify:artist:4a7CDXcRCXi4kp5z7SEXtg,Lisa Loeb & Nine Stories
2857,spotify:artist:3X458ddYA2YcVWuVIGGOYe,Toni Braxton
2867,spotify:artist:4NgNsOXSwIzXlUIJcpnNUp,Sarah McLachlan
2877,spotify:artist:2cGwlqi3k18jFpUyTrsR84,The Verve
2887,spotify:artist:02da1vDJ2hWqfK7aJL6SJm,Soul Asylum
2897,spotify:artist:242iqFnwNhlidVBMI9GYKp,The Verve Pipe
2907,spotify:artist:2mpeljBig2IXLXRAFO9AAs,Dido
2917,spotify:artist:47zz7sob9NUcODy0BTDvKx,Sade
2927,spotify:artist:4mesemBJJwnGX6tRaMvGbn,Illumination
2932,spotify:artist:08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish
2942,spotify:artist:1EeArivTpzLNCqubV95255,Cali Swag District
2962,spotify:artist:3sgFRtyBnxXD5ESfmbK4dl,LMFAO
2972,spotify:artist:7GXXMm3DB1VswVcuGyInUd,Vanilla Ice
2982,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,The Isley Brothers
2992,spotify:artist:0jnsk9HBra6NMjO2oANoPY,Flo Rida
3022,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
3032,spotify:artist:3TQ9JTBI2n2hfo7aRONEYV,Sir Mix-A-Lot
3052,spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk
3062,spotify:artist:4AWzJ0jYO43xrWkQ4O7R5x,Mr. C The Slide Man
3064,spotify:artist:7mEIug7XUlQHikrFxjTWes,Neil Diamond
3074,spotify:artist:0lax1ZgWclW6mZFaGu27MM,Cupid
3084,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Lady Gaga
3104,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
3134,spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull
3154,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna
3164,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,Train
3184,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,KAROL G
3204,spotify:artist:4apX9tIeHb85yPyy4F6FJG,Wild Cherry
3214,spotify:artist:5anDRAnt2u0S0vwgotMYX7,Old School Players
3244,spotify:artist:41qil2VaGbD194gaEcmmyx,Will Smith
3264,spotify:artist:2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers
3284,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
3294,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars
3304,spotify:artist:0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain
3314,spotify:artist:4phGZZrJZRo4ElhRtViYdl,Jason Mraz
3324,spotify:artist:0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer
3334,spotify:artist:0MlOPi3zIDMVrfA9R04Fe3,American Authors
3344,spotify:artist:05RZIdfz59ZW2FvFuwnmNK,K-Ci & JoJo
3354,spotify:artist:6xeFne1rkxMhKSW3ipvkdV,Toploader
3365,spotify:artist:6aZyMrc4doVtZyKNilOmwu,Colbie Caillat
3384,spotify:artist:2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band
3414,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts
3474,spotify:artist:4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers
3484,spotify:artist:6MF9fzBmfXghAz953czmBC,Taio Cruz
3494,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Tiësto
3514,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,The Lumineers
3554,spotify:artist:0AuW7OCyKfFrsMbtHrYgIV,House Of Pain
3564,spotify:artist:2zrZfs23sjuHDv4E6YRmNf,Kris Kross
3574,spotify:artist:2MGT7CYlixSPxAnnkhLpaA,Next
3624,spotify:artist:3b8QkneNDz4JHKKKlLgYZg,Bebe Rexha
3644,spotify:artist:6MDME20pz9RveH9rEXvrOM,Clean Bandit
3654,spotify:artist:2l35CQqtYRh3d8ZIiBep4v,MKTO
3664,spotify:artist:25uiPmTg16RbhZWAqwLBy5,Joel Corry
3674,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris
3684,spotify:artist:4obzFoKoKRHIphyHzJ35G3,Maria Becerra
3694,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,The Weeknd
3704,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis
3724,spotify:artist:1ASwPvvha7hLm91YXu6yJJ,The Aranbee Pop Symphony Orchestra
3744,spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU,STRFKR
3754,spotify:artist:41Q0HrwWBtuUkJc7C1Rp6K,311
3764,spotify:artist:02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats
3774,spotify:artist:2QMMktUMtwMSwUZATX1cRO,Toadies
3784,spotify:artist:4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age
3794,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,The Cranberries
3804,spotify:artist:1cXi8ALPQCBHZbf0EgP4Ey,Misfits
3834,spotify:artist:5aPH21KxzBBb7SZTpuITrC,Willy Moon
3844,spotify:artist:3brlG1zNhqIkYhdneCaPVi,The Flys
3854,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala
3864,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,Sia
3884,spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
3894,spotify:artist:2t9yJDJIEtvPmr2iRIdqBf,Fink
3904,spotify:artist:7FDlvgcodNfC0IBdWevl4u,James Vincent McMorrow
3914,spotify:artist:1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ
3924,spotify:artist:7e1ICztHM2Sc4JNLxeMXYl,dvsn
3934,spotify:artist:02A3cEvlLLCbIMVDrK2GHV,Starley
3944,spotify:artist:4Ui2kfOqGujY81UcPrb5KE,Taylor Swift
3954,spotify:artist:4u5smJBskI6Adzv08PuiUP,Linkin Park
3964,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,Tash Sultana
3974,spotify:artist:0VQKssIfRKfSd7IfW3JIP1,Thomston
3994,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,Lil Uzi Vert
4004,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n,BANKS
4014,spotify:artist:59wfkuBoNyhDMQGCljbUbA,Diddy
4024,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Disclosure
4034,spotify:artist:1KlUwB6uFECMC3zzvFvykx,Duke Dumont
4044,spotify:artist:26VFTg2z8YR0cCuwLzESi2,The Chainsmokers
4054,spotify:artist:2xGCGoulmU85qYdpb2Z4xx,Elliot Moss
4064,spotify:artist:3D6cosC5ZOLCpRxt6T3XS7,The Kite String Tangle
4074,spotify:artist:3Bd1cgCjtCI32PYvDC3ynO,London Grammar
4084,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
4094,spotify:artist:49tQo2QULno7gxHutgccqF,LANY
4104,spotify:artist:23EA28263XvtIrXuySX6oI,Francis and the Lights
4114,spotify:artist:1Y6h5hMy5IgqxMvRfn1NB9,Water Park
4124,spotify:artist:380fnmlGnkyueBMqGWx2k5,Joe Goddard
4134,spotify:artist:21UJ7PRWb3Etgsu99f8yo8,Stereophonics
4154,spotify:artist:4WN5naL3ofxrVBgFpguzKo,Rudimental
4164,spotify:artist:6msJKphD3VXZPItnztefdH,Stateless
4174,spotify:artist:79hrYiudVcFyyxyJW0ipTy,The Paper Kites
4184,spotify:artist:5TcPijsr7sstBFVAMNfdIm,Yeo
4194,spotify:artist:5CEZ2102fh2JlfPrsBdSeJ,GOSTO
4204,spotify:artist:1BdgyHJZID1ceLLg31KyAv,Sol Rising
4214,spotify:artist:6Paz0vXJJ9bCPf0fEm3qzg,Dagny
4224,spotify:artist:0cmWgDlu9CwTgxPhf403hb,Bonobo
4234,spotify:artist:2hwy5DELim1AxB1sHPqn4y,Gotts Street Park
4244,spotify:artist:2AcUPzkVWo81vumdzeLLRN,Rhye
4254,spotify:artist:26GHRG8x1F4AzbCKzUaIbw,Aquilo
4274,spotify:artist:2tT6SE9nGCYXysoJ4qicsZ,BASECAMP
4284,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8,Bruno Major
4294,spotify:artist:5Rja2iSIMNhzHMRoKzHKNX,Alpines
4304,spotify:artist:0lzV2CiahHRiGd6qpADtPS,filous
4315,spotify:artist:2gsggkzM5R49q6jpPvazou,Jessie J
4334,spotify:artist:6nS5roXSAGhTGr34W6n7Et,Khalid
4344,spotify:artist:19m3oZKjGSLzVW0OGIAcNg,DJ Snake
4354,spotify:artist:7kFfY4UjNdNyaeUgLIEbIF,DeJ Loaf
4364,spotify:artist:422RLznpwUa5FsQgnTlgUH,Great Good Fine Ok
4374,spotify:artist:7A2x4Urpc4VKF1pb7qnNqD,John Splithoff
4394,spotify:artist:3cmUhYaAl8ZVz3coS1T3VC,Asta
4404,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,Wiz Khalifa
4414,spotify:artist:1wzBqAvtFexgKHjt7i3ena,Fred V & Grafix
4424,spotify:artist:2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen
4444,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant
4454,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers
4484,spotify:artist:6VDdCwrBM4qQaGxoAyxyJC,Cold War Kids
4504,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,Kings of Leon
4514,spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine
4534,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles
4574,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day
4594,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron
4614,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man
4624,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,alt-J
4644,spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx,Grouplove
4674,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz
4704,spotify:artist:7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra
4714,spotify:artist:6GkJh85o22LfD2vgL9DP6f,Dirty Heads
4764,spotify:artist:69MEO1AADKg1IZrq2XLzo5,UB40
4784,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie
4814,spotify:artist:320EPCSEezHt1rtbfwH6Ck,The Monkees
4854,spotify:artist:2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan
4884,spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3,The Highwaymen
4904,spotify:artist:1nivFfWu6oXBFDNyVfFU5x,The Cadillac Three
4914,spotify:artist:68abRTdO4meYReMWHvBYb0,Chris Lane
4924,spotify:artist:2M4Yt7oKGoYd0wqU44k4i2,Travis Tritt
4934,spotify:artist:4mxWe1mtYIYfP040G38yvS,Alan Jackson
4944,spotify:artist:6PjV05LlULv9XmFu7HeAia,Wheeler Walker Jr.
4954,spotify:artist:26opZSJcXshCmCwxgZQmBc,Whiskey Myers
4964,spotify:artist:1sX1MkGoDKuMzzhaALPFyZ,Jason Boland & The Stragglers
4974,spotify:artist:6zLBxLdl60ekBLpawtT63I,Cody Johnson
4984,spotify:artist:2ptmyXoL7poH6Zq62h1QT9,Merle Haggard
5004,spotify:artist:6nwh8AhPpbwOUnHZJWrHT6,David Allan Coe
5015,spotify:artist:2cNV8vNe2fPFf6OfGOBbSS,Mark Chesnutt
5024,spotify:artist:3KmQJ2e3T7Gn1UurVpReXs,Gary Stewart
5034,spotify:artist:3mSAqBoXQgdlpwzWsIgBzL,Merle Haggard & The Strangers
5045,spotify:artist:3Ay15wt0QChT4Kapsuw5Jt,Clint Black
5064,spotify:artist:0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn
5074,spotify:artist:7vCtweS8UVAXTyau2j0rDT,Josh Turner
5084,spotify:artist:1DTZRmlVZBxx2wRQBtx6yi,Midland
5094,spotify:artist:246dkjvS1zLTtiykXe5h60,Post Malone
5104,spotify:artist:1anyVhU62p31KFi8MEzkbf,Justin Bieber
5114,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,Jeremih
5124,spotify:artist:55Aa2cqylxrFIXC767Z865,DaBaby
5134,spotify:artist:01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco
5144,spotify:artist:7pFeBzX627ff0VnN6bxPR4,Desiigner
5154,spotify:artist:67nwj3Y5sZQLl72VNUHEYE,Wale
5164,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,Mustard
5174,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake
5184,spotify:artist:0c173mlxpT3dSFRgMO8XPh,Big Sean
5194,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
5204,spotify:artist:0A0FS04o6zMoto8OKPsDwY,Meek Mill
5214,spotify:artist:20sxb77xiYeusSH8cVdatc,Meek Mill
5234,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,Timbaland
5244,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q
5254,spotify:artist:2cFrymmkijnjDg9SS92EPM,blackbear
5274,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,J. Cole
5304,spotify:artist:31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie
5315,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
5324,spotify:artist:2o8lOQRjzsSC8UdbNN88HN,mansionz
5334,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,Russ
5354,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Baby Keem
5364,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Aminé
5384,spotify:artist:4kYSro6naA4h99UJvo89HB,Cardi B
5404,spotify:artist:5gCRApTajqwbnHHPbr2Fpi,Juicy J
